test_name,classification,root_cause,affected_function,risk_level,recommended_resolution
tests/test_advanced_regime_engine.py::test_bull_bias,REAL_BUG,"3-state synthetic/probabilistic regime path collapses bull stream to non-TREND; score_map warning shows heuristic scores not producing expected TREND recall",compute_hmm_regime;AdvancedRegimeEngine.update,HIGH,"Recalibrate with real data and align 3-state/4-label classifier; add objective TREND recall gate."
tests/test_advanced_regime_engine.py::test_range_presence,REAL_BUG,"Range regime has no trained state and heuristic range evidence loses to other labels under flat stream",compute_hmm_regime;RegimeMarkovSmoother.update,HIGH,"Introduce calibrated RANGE semantics or 4-state artifact; test against heldout flat/range labels."
tests/test_advanced_regime_engine_hardening.py::test_update_handles_nan_return,WRONG_EXPECTATION,"Fixture derives price from NaN return; update deliberately raises for non-finite price before return fail-safe",AdvancedRegimeEngine.update,LOW,"Adjust test input to keep price finite when testing NaN return, or document price fail-fast contract."
tests/test_advanced_regime_engine_hardening.py::test_update_dimension_failure_on_bad_feature_shape,STALE_TEST,"Test expects scalar feed_status; output schema now nests feed status as risk_metrics.feed_status.primary",_build_output,LOW,"Update test/integration contract to assert primary field."
tests/test_advanced_regime_engine_hardening.py::test_mtf_partial_failure_degrades_not_crash,STALE_TEST,"Test expects scalar feed_status; output schema now nests primary/flags",_build_output;AdvancedRegimeEngine.update,LOW,"Update assertion to risk_metrics.feed_status.primary."
tests/test_advanced_regime_engine_hardening.py::test_sjm_non_finite_falls_back_to_last_valid,REAL_BUG,"Numerical self-heal clears _last_valid_sjm_probs, so fallback cache is lost instead of preserved",_self_heal;SparseJumpModel.filter,HIGH,"Preserve last known finite SJM posterior across numerical recovery or explicitly fall back before clearing."
tests/test_advanced_regime_engine_hardening.py::test_update_handles_extreme_returns_beyond_two_sigma_bounds,WRONG_EXPECTATION,"Fixture produces negative price from extreme return; update fail-fast positive-price gate fires before return clamp",AdvancedRegimeEngine.update,LOW,"Use a finite positive price when testing return clamping."
tests/test_advanced_regime_engine_hardening.py::test_circuit_breaker_preserves_first_reason_and_trigger_tick,ARCHITECTURE_MISMATCH,"_trigger_circuit_breaker records latest reason before active-check; test expects first reason immutability",_trigger_circuit_breaker,MEDIUM,"Decide reason precedence policy; if first-wins desired, move assignment after active/same-tick guards."
tests/test_advanced_regime_engine_hardening.py::test_self_heal_unknown_error_always_executes_fallback_recovery,REAL_BUG,"_self_heal manually releases self._lock even when direct caller does not own it",_self_heal,CRITICAL,"Make _self_heal ownership-aware or require synchronized wrapper; eliminate release-without-owner."
tests/test_advanced_regime_engine_hardening.py::test_build_output_fallback_path_never_throws_on_schema_failure,STALE_TEST,"Monkeypatched _validate_output_schema lambda lacks new engine_id keyword",_build_output;_validate_output_schema,LOW,"Update monkeypatch signature to accept engine_id/kwargs."
tests/test_advanced_regime_engine_hardening.py::test_build_output_fallback_handles_runtime_float_exceptions,STALE_TEST,"Monkeypatched _validate_output_schema lambda lacks new engine_id keyword",_build_output;_validate_output_schema,LOW,"Update monkeypatch signature to accept engine_id/kwargs."
tests/test_advanced_regime_engine_hardening.py::test_schema_failure_metrics,STALE_TEST,"Prometheus metric label set is engine_id,violation_type; test uses old/wrong labels",REGIME_SCHEMA_VIOLATIONS;_validate_output_schema,LOW,"Update test to current metric labels or isolate registry."
tests/test_advanced_regime_engine_hardening.py::test_load_state_logs_degrade_fields,ARCHITECTURE_MISMATCH,"Current load_state emits different structured degrade messages than expected legacy field-specific string",AdvancedRegimeEngine.load_state,LOW,"Define canonical load-state degradation log contract."
tests/test_advanced_regime_engine_hardening.py::test_regime_markov_smoother_directional_evidence_is_symmetric_and_not_suppressed,REAL_BUG,"BEAR directional evidence is still structurally suppressed below intended symmetry threshold",RegimeMarkovSmoother._scores_to_evidence,MEDIUM,"Rebalance evidence formula or test threshold after defining desired BEAR evidence semantics."
tests/test_advanced_regime_engine_hardening.py::test_snapshot_path_no_tautological_consistency_loop,ARCHITECTURE_MISMATCH,"Replay/snapshot instrumentation no longer records expected payload on this path",AdvancedRegimeEngine._replay_record/load_snapshot,MEDIUM,"Reconcile snapshot trace contract with current sampling/replay behavior."
tests/test_advanced_regime_engine_hardening.py::test_load_snapshot_logs_structured_error,ARCHITECTURE_MISMATCH,"Current snapshot/load_state error log differs from expected structured context_keys message",AdvancedRegimeEngine.load_snapshot;load_state,LOW,"Define and enforce one structured snapshot error logging contract."
tests/test_advanced_regime_engine_hardening.py::test_circuit_breaker_vol_shock_short_circuits_same_tick,STALE_TEST,"Test expects scalar feed_status; output schema now nests primary/flags",_build_output;_build_halted_output,LOW,"Update assertion to risk_metrics.feed_status.primary."
